,Unnamed: 0,old_ID,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
4916,4916,421,Al1Ti1V1Ag1,AlTiVAg,0.5646,1.0860634203458148,1.042393148581399,5.958105623287248
4917,4917,422,Al1Ti1V1Cd1,AlTiVCd,0.5004,0.7062284545805879,0.6516975832886909,5.681231667758619
4918,4918,423,Al1Ti1V1La1,AlTiVLa,0.5495,0.6551486717549959,0.6187031498126111,5.139117476912279
4919,4919,424,Al1Ti1V1Hf1,AlTiVHf,0.6058,0.7384303334505754,0.6869462599255652,7.1849909541394
4920,4920,425,Al1Ti1V1Ta1,AlTiVTa,0.6237,1.1548364565143574,1.0014305007325182,7.703251813555217
4927,4927,432,Al1Ti1V1Hg1,AlTiVHg,0.4619,0.6535981242912693,0.6127150957912209,7.462684078181816
4928,4928,433,Al1Ti1Cr1Mn1,AlTiCrMn,0.7637,1.0630239479202308,1.0257902993631165,5.158277859418803
4929,4929,434,Al1Ti1Cr1Fe1,AlTiCrFe,0.7797,1.1732859759614496,1.1498231541335742,5.219703959999998
4930,4930,435,Al1Ti1Cr1Co1,AlTiCrCo,0.7486,1.041116193250404,1.0200926105598564,5.382045441116928
4931,4931,436,Al1Ti1Cr1Ni1,AlTiCrNi,0.7852,1.0317350082017993,1.0117207338693104,5.384495525804194
4932,4932,437,Al1Ti1Cr1Cu1,AlTiCrCu,0.7899,1.1447942766054446,1.1242192706154936,5.439732531428569
4933,4933,438,Al1Ti1Cr1Zn1,AlTiCrZn,0.7605,0.8720045287837573,0.8513633036727375,5.188502440260161
4934,4934,439,Al1Ti1Cr1Y1,AlTiCrY,0.6668,0.6169671266846534,0.5878139492025345,4.516340618865068
4935,4935,440,Al1Ti1Cr1Zr1,AlTiCrZr,0.7913,0.6520222282980319,0.619661324068526,5.201062357413792
4936,4936,441,Al1Ti1Cr1Nb1,AlTiCrNb,0.7822,1.0120120341934769,0.9236646097839488,5.6731989249766706
4937,4937,442,Al1Ti1Cr1Mo1,AlTiCrMo,0.774,1.1198185922601218,1.0662975490346134,5.984720065954692
4938,4938,443,Al1Ti1Cr1Tc1,AlTiCrTc,0.5217,0.9561807623662352,0.8936732803048828,6.169290910347106
4939,4939,444,Al1Ti1Cr1Ru1,AlTiCrRu,0.6461,1.1726911937089235,1.1023028510967054,6.316165276727878
4940,4940,445,Al1Ti1Cr1Rh1,AlTiCrRh,0.6375,0.833961487368071,0.7572868083706801,6.3564205012666655
4941,4941,446,Al1Ti1Cr1Pd1,AlTiCrPd,0.6458,1.0632415367232904,1.0380682645287154,6.347857378295082
4942,4942,447,Al1Ti1Cr1Ag1,AlTiCrAg,0.6968,0.9732520905369249,0.9522403917671568,6.145478108454257
