AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,Phase
52.1501,2894.27,152.364,1.75,134.818,0.0200655,7041.64,16.6818,1526.03,13.0364,9.74118,497.273,91.5455,3.72727,365.545,1
51.5871,2840.23,154,1.77538,130.462,0.0227062,7188.54,15.9923,1443.74,12.6462,13.5143,515.077,109.231,3.69231,356.846,1
174.5,5318.65,198,1.508,168.45,8.62E-06,16177,35.225,2961.5,17.8,19.63,155.4,58.85,5.05,716.15,0
114.433,2655,115.8,1.475,199,1.50E-06,6079.5,19.045,1325.72,66.25,15.8,246.5,87.5,3.5,332,1
64.8739,3080.2,176,1.866,135,0.0128442,8686.4,19.28,1671.4,12.28,12.032,409,83.34,3.8,384,1
115.56,1684.5,50,1.825,141.5,1.18E-06,7980,6.65,276.5,24.3,1225.31,223.5,81.5,3,195,1
164.48,1668,44,2.19,142.5,5.10E-06,9018.5,12.235,479.045,30.3,2.7855,167,29.5,4.5,122.5,1
69.6963,1643,59,1.65,132.5,0.0405001,5675,8.5,490.695,19.1,1225.12,567,165.5,2.5,196.5,1
170.545,4402.5,174,1.78,179,3.15E-06,13575.5,22.5,2367.5,24.5,24509.2,186,90.5,4.5,552.5,1
55.3915,2461,145,1.69,135.5,0.03205,7672,13.5,1392,12,7.93,464,43.35,3.5,283.5,0
92.7236,3490.2,336,2.156,141.4,2.80E-05,11398,21.46,1952.6,13.38,116.62,281.6,138.8,6,463.8,0
57.8879,2675.5,157.5,1.81125,131.75,0.0159445,8268,15.2375,1413.53,11.6625,4.76,435.475,155.213,3,326.125,1
188.219,5304,416,2.05,147.5,2.20E-09,21810,32,3109.5,14.35,52.5,133.5,67.5,6.5,667.5,0
24.3853,1132.87,45.93,1.319,140.4,0.03056,1766.86,8.76,650.31,23.0001,0.0681,1016.52,162.25,2.03,132.95,0
148.077,3987.5,225,2.24,141,1.90E-08,16910,22.85,2051.15,14.5,6.3,185.5,95.5,6,535,0
114.45,2028.5,100.5,1.465,159.5,0.0315014,7222,10.75,1178.5,27.8,18.78,301.5,59,3,253.5,1
119.633,2574,39.5,1.195,194,1.75E-05,5912.5,9.95,1299,33.5,2950.64,247,15,3,277.5,0
68.4887,2886.5,172.5,1.9225,133.75,0.04725,8911.25,14.525,1542.22,12.525,3.645,396.75,77,3.25,355.25,0
57.1325,2586.11,152.222,1.76333,133.333,0.00731067,8103.33,15.7556,1435.92,11.7556,5.76889,440.2,140.489,3.44444,313.444,1
100.773,4628.45,234.5,2.162,153.35,1.05E-06,10896,35.5,2615.15,15.435,23.72,245,139.55,6,598,0
91.3949,1388,61,2.055,132,1.09E-06,8108.5,19.5,889.39,19.4,33.9,281.5,240,3,143.7,1
116.764,2337,49.5,1.87,140.5,1.18E-06,7310,5.13,194.265,26.55,97.31,225,74.5,3.5,260,1
172.566,4413,204.35,1.55,172.5,4.66E-07,14619.5,21.9,2271,23.4,56.5,159.5,29.5,5,500,1
164.972,5196.4,204,1.64,165.2,1.36E-06,15794,33.94,2880.4,17.2,16.92,159.6,69.6,5.2,704.8,0
51.4047,2729.32,147.429,1.79413,128.302,0.0267759,7198.41,15.1921,1317.15,12.5524,2.97506,531.206,168.333,3,336.968,1
66.288,2106,49,1.155,182.5,0.000193,2807.5,12,1159,40.15,14.2,433.5,25.5,2.5,227.5,1
90.2491,2491,87.5,1.97,132.5,7.40E-07,7906.5,21.55,950.04,19.9,32.9,278.2,245,2.5,294.5,1
54.1772,2893.23,158.261,1.77783,134.449,0.0150861,7497.97,17.1116,1519.39,12.3507,8.45514,475.942,134.043,3.69565,365.174,1
80.0016,3538.5,200,2.04,136,1.50E-05,10635,20.95,1914.5,12.3,19.9,329.5,110,5,477.5,0
53.5473,3174.67,135.183,1.64667,140,0.00117998,6140.67,16.7917,1543.27,14.2483,3.2722,656.067,126.167,3.16667,405.5,1
196.834,4717.25,63.275,1.3075,198.25,3.70E-05,10420.8,17.25,1776.25,30.4497,5.596,158,46.25,4,542.5,0
151.476,2993.5,165,2.105,140.5,5.80E-08,15970,15.65,1365.04,16.25,36.8,184,250.5,3.5,372.5,1
50.0723,2792.6,151.2,1.786,129.8,0.0666,6839.2,13.18,1362.46,12.76,2.0946,540,110.2,3,336.2,0
120.919,4760.6,214,1.85,160.6,4.22E-05,12172,31.32,2689.8,16.26,9.542,255.4,90.2,5.4,655.8,0
80.7995,3304,280,2.095,133,4.50E-05,10679,19.45,1709.5,12.3,74.75,342.5,120.5,4,436.5,0
37.3698,2517.84,135.2,1.7416,114.72,3.63E-05,5546.24,10.628,1181.76,10.0192,1.97002,1073.49,299.2,2,298.56,1
101.314,1437.5,21.3,1.3,183,1.05E-05,3891.5,3.84,29.1,68.3,15.95,306.5,32.5,2,160,1
94.5483,2954,180,2.12,135.75,7.50E-06,11242.2,16.575,1539.93,13.775,14.475,285.25,78.25,4,378.75,0
124.582,3969.5,321,2.04,135,1.50E-05,15750,23.6,2264,12.5,26.1,275.5,93.5,5,502.5,0
51.3814,2814.69,154.706,1.78549,128.902,0.0282863,7176.47,16.0784,1434.83,12.5392,9.38294,527.863,120.176,3.64706,351.373,1
166.167,3894,171,1.66,172.5,3.00E-05,14644.5,15.75,1632,24.5,212.8,161.5,80.5,5,455,1
61.184,3393.4,95.62,1.466,159.8,0.0175898,4860,16.92,1523.86,20.86,2.5714,497.8,65.6,3.8,426.2,1
188.957,4157,210,2.02,153,8.52E-07,17975,24.25,2040.59,17.55,59.6,134.55,188.5,5,533,1
96.368,4564.2,192.2,2.108,152.6,8.80E-07,10524,33.4,2529.8,15.24,6.48,213.4,121.4,6,590,0
45.7785,3210.2,106.6,1.547,156.1,0.01404,4326.3,17.9,1567.23,17.5,5.5133,558.4,43.3,3.9,411.8,0
182.34,5391.1,239.3,1.605,166.1,1.45E-06,17542.5,35.25,3019.4,17.485,19.675,138.5,61.5,5.15,720.1,0
212.118,4761.5,235,1.64,173.5,9.01E-07,20035,23.5,2160.5,17.714,48.785,126.5,37.5,6.5,562.5,1
160.986,3597,217.5,2.1875,133,2.25E-05,18314.5,19.3,1689.97,14.275,8.625,211,76,5,462,0
75.7798,4097.2,152.22,1.652,161.2,0.00138762,7195.6,25.06,2106.6,17.64,3.0188,360.6,53.8,4.8,549.6,0
74.3757,3802.5,170,1.715,148,0.0315085,8222,20.3,2007.5,14.9,1.855,357,66.5,4,518.5,1
43.6899,3133.4,103.2,1.554,152.2,0.02148,4145.6,17.1,1466.46,17.4,4.9266,596.8,64.6,3.8,398.6,0
192.934,4277.25,297.5,2.22,139.75,9.55E-09,22312.5,24.5,2291.57,14.5,321.25,131.5,130.25,6,542.5,0
88.8025,2224,106,1.94,135.5,0.0315001,7285.5,16.75,1084.32,21,3.98,328,51.5,4,207,1
166.256,3741.4,216,2.15,139.4,3.80E-05,18382,20.56,1796.64,15.08,9.012,204.2,63,5.8,482.6,0
116.232,4957,220,1.675,160.75,1.28E-05,11682.5,28.35,2654.25,17.175,23.3625,233,52.5,5.5,693.75,0
62.784,2532.5,105.5,1.82,127,0.0315095,6889,9.695,783.88,15.7,2.73,410,54,3,301.5,1
54.6669,2931.8,160,1.764,136.2,0.013972,7475.8,17.28,1612.6,12.68,10.692,456.6,77.2,3.8,372.8,1
124.031,3644.5,245,2.015,136.5,0.0315,15237,19.9,2002,13,213.78,290,114.5,4.5,453.5,0
51.4318,3352.4,161,1.65,150.9,0.006471,6286.4,21.9,1872.8,13.6,4.81,485,35.8,4.8,442.4,0
94.7169,2930,56.25,1.34,174.25,1.95E-05,7192.75,12.71,1315.75,23.8567,20.825,457.75,13.5,3.75,319.75,0
102.211,3789.4,365,2.268,143.2,1.11E-07,12233,23.13,2029.9,13.88,130.76,241.1,148.9,6,505.5,0
